ID	description
1.1	Polaroid Corporation, a multinational consumer electronics and eyewear company, and former instant camera and film maker
1.2	Instant film photographs are sometimes known as "Polaroids", after the company that invented and sold them originally
1.3	Instant camera (or Land camera), sometimes known as a Polaroid camera after the company that invented the concept
1.4	Polaroid Eyewear, eyewear based around glare-reducing polarized lenses made from the aforementioned Polaroid polarizer
1.5	Polaroid (polarizer), a type of synthetic plastic sheet which is used to polarize light, developed by Polaroid Corporation
1.6	Other
1.7	Polaroid (album) Polaroid (album), a bootleg album by American band Phantom Planet
2.1	A kangaroo is a large marsupial which is endemic to Australia.
2.2	Kangaroo Express, the name of some of the convenience stores operated by the American convenience-store chain The Pantry
2.3	Other
2.4	Other Businesses
2.5	Kangaroo (video game), a 1982 video game based on the marsupial.
2.6	KangaROOS, an American brand of athletic shoe
2.7	Mathematical Kangaroo, or International Mathematical Kangaroo, an annual international childrens mathematics competition
2.8	Other Film
2.9	Kangaroo (1986 film)|Kangaroo (1986 film), an Australian film based on the 1923 D.H. Lawrence novel Kangaroo
2.10	Kangaroo (1952 film)|Kangaroo (1952 film), an American film directed by Lewis Milestone
2.11	Kangaroo care, a way of holding a prematurely-born infant with skin-to-skin contact
2.12	Other Cycling
2.13	Kangaroo meat, the meat of any of the species of kangaroo
2.14	Kangaroo (novel)|Kangaroo (novel), a 1923 novel by D. H. Lawrence
2.15	Kangaroo (armoured personnel carrier), a Canadian-designed World War II armoured personnel carrier used by the United Kingdom and British Commonwealth forces
2.16	Kangaroo court, a sham legal proceeding
2.17	Kangaroo (comics), an enemy of Spider-Man in comics
3.1	Shakira - a Colombian Latin pop/pop-rock singer
3.2	Other
4.1	Kawasaki motorcycles
4.2	Kawasaki Heavy Industries, a Japanese maker of aerospace equipment, ATVs, engines, industrial plants, motorcycles, jet skis, ships, tractors, and trains
4.3	Kawasaki disease, a vascular disease found primarily in young children
4.4	Kawasaki, Kanagawa, Japanese city
4.5	Other Business
4.6	Kawasaki (surname), a Japanese surname
4.7	Other
5.1	Other
5.2	Yellow is a color.
5.3	Yellow (song) Yellow (song), a song by Coldplay
5.4	Yellow, an upcoming 2012 film, starring Sienna Miller and Lucy Punch
5.5	Other Books and comics
5.6	Yellow River (disambiguation)
5.7	Yellow Creek (disambiguation)
5.8	Pok̩mon Yellow version, the fourth - and final - installment in the first generation of Pok̩mon games
6.1	Strongman (strength athlete)
6.2	Other
6.3	Strongman (circus)
6.4	Strongman (politics)
6.5	Strongman Mine, a New Zealand coal-mine
7.1	United States Department of Housing and Urban Development, a division of the U.S. federal government
7.2	HUD (computing), the same method of visually representing information in computing.
7.3	HUD (video gaming), a method of visually representing information in video games
7.4	Hud (film) Hud (film), a 1963 film starring Paul Newman
7.5	Head-up display, a visual display technology for airplanes, cars and others
7.6	Hud (sura), the eleventh sura of the Quran, which contains an account of the prophet Hud
8.1	Fandango (ticket service), a subsidiary of NBC Universal that sells movie tickets
8.2	Fandango is a lively couples dance, usually in triple metre, traditionally accompanied by guitars and castanets or hand-clapping ( palmas in Spanish and Portuguese). Fandango can both be sung and danced. Sung fandango is usually bipartite: it has an instrumental introduction followed by variaciones . Sung fandango usually follows the structure of cante that consist of four or five octosyllabic verses (coplas) or musical phrases (tercios). Occasionally, the first copla is repeated.
8.3	Other Places
8.4	Fandango (1985 film), a 1985, starring Kevin Costner
8.5	Other
8.6	Fandango (Mexican band), a 1980s Mexican pop band"
8.7	Label Fandango, an independent record label run out of the above company
