id	description
1	polaroid
2	kangaroo
3	shakira
4	kawasaki
5	yellow
6	strongman
7	hud
8	fandango
9	dsl
10	bausch
11	pizza
12	snake
13	queen
14	cerberus
15	equinox
16	marble
17	apple
18	veracruz
19	virgo
20	neptune
21	judas
22	boomerang
23	hoover
24	nickelodeon
25	steam
26	atom
27	lakota
28	ghost
29	apartment
30	chase
31	mannequin
32	pods
33	aetna
34	mustang
35	eros
36	noggin
37	hedonism
38	shockwave
39	apache
40	magic
41	bald_eagle
42	bermuda_triangle
43	monte_carlo
44	iron_man
45	sherlock_holmes
46	trojan_horse
47	poison_ivy
48	ten_commandments
49	flight_93
50	ice_age
51	zero_hour
52	full_moon
53	fort_recovery
54	soul_food
55	mighty_mouse
56	jurassic_park
57	indiana_university
58	heron_island
59	match_point
60	texas_rangers
61	brett_butler
62	courtney_cox
63	jungle_fever
64	blood_work
65	harry_potter
66	guild_wars
67	john_carroll
68	black_planet
69	century_21
70	coyote_ugly
71	mortal_kombat
72	silent_hill
73	stone_cold
74	independence_day
75	lemonade_stand
76	aurora_borealis
77	agent_orange
78	babel_fish
79	far_cry
80	carrot_top
81	the_last_supper
82	romeo_and_juliet
83	medal_of_honor
84	arch_of_triumph
85	dead_or_alive
86	man_in_black
87	heaven_and_hell
88	stand_by_me
89	prince_of_persia
90	billy_the_kid
91	dog_eat_dog
92	sense_and_sensibility
93	soldier_of_fortune
94	one_tree_hill
95	sisters_of_mercy
96	beauty_and_the_beast
97	lord_of_the_flies
98	battle_of_the_bulge
99	the_da_vinci_code
100	the_wizard_of_oz
